questionId,questionText,category,optionId,optionText,R,I,A,S,E,C
c1,I prefer organized and structured work environments,psychometric,c1_e,Strongly Disagree,2,2,3,0,2,0
c2,I enjoy working with numbers and data,aptitude,c2_a,Strongly Agree,0,2,0,0,1,5
c2,I enjoy working with numbers and data,aptitude,c2_b,Agree,0,2,0,0,1,4
c2,I enjoy working with numbers and data,aptitude,c2_c,Neutral,0,1,0,0,0,2
c2,I enjoy working with numbers and data,aptitude,c2_d,Disagree,1,0,2,1,0,0
c2,I enjoy working with numbers and data,aptitude,c2_e,Strongly Disagree,2,0,3,2,0,0
c3,I like following established procedures and guidelines,psychometric,c3_a,Strongly Agree,1,0,0,1,0,5
c3,I like following established procedures and guidelines,psychometric,c3_b,Agree,1,0,0,1,0,4
c3,I like following established procedures and guidelines,psychometric,c3_c,Neutral,0,0,0,0,0,2
c3,I like following established procedures and guidelines,psychometric,c3_d,Disagree,0,1,2,0,2,0
c3,I like following established procedures and guidelines,psychometric,c3_e,Strongly Disagree,0,2,3,0,3,0
c4,I am detail-oriented and careful with my work,psychometric,c4_a,Strongly Agree,1,2,0,1,0,4
c4,I am detail-oriented and careful with my work,psychometric,c4_b,Agree,1,2,0,1,0,3
c4,I am detail-oriented and careful with my work,psychometric,c4_c,Neutral,0,1,0,0,0,1
c4,I am detail-oriented and careful with my work,psychometric,c4_d,Disagree,0,0,2,0,2,0
c4,I am detail-oriented and careful with my work,psychometric,c4_e,Strongly Disagree,0,0,3,0,3,0
c5,I prefer jobs with clear expectations and responsibilities,psychometric,c5_a,Strongly Agree,1,0,0,2,0,4
c5,I prefer jobs with clear expectations and responsibilities,psychometric,c5_b,Agree,1,0,0,2,0,3
c5,I prefer jobs with clear expectations and responsibilities,psychometric,c5_c,Neutral,0,0,0,1,0,1
c5,I prefer jobs with clear expectations and responsibilities,psychometric,c5_d,Disagree,0,1,2,0,1,0
c5,I prefer jobs with clear expectations and responsibilities,psychometric,c5_e,Strongly Disagree,0,2,3,0,2,0
